,Episodeid,enddate,lat_10deg,lon_10deg,startdate,ST4_accum75,ST4_area75,ST4_dur,ST4_maxrr,ST4_avgrr,ST4_area_avg_pcp,area_norm_pcp,Season,state_cz_fips,centroid_lat,centroid_lon,flood_type,CTRL_total_accum75,CTRL_area_avg_pcp,CTRL_max_accum75,CTRL_total_avgrr75,CTRL_total_dur75,area_avg_rain_diff,dur_diff,area_avg_rain_diff_pct
0,1145517,20021216.06,"[33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375, 39.625, 39.875, 40.125, 40.375, 40.625, 40.875, 41.125, 41.375, 41.625, 41.875, 42.125, 42.375, 42.625, 42.875, 43.125, 43.375]","[-127.375, -127.125, -126.875, -126.625, -126.375, -126.125, -125.875, -125.625, -125.375, -125.125, -124.875, -124.625, -124.375, -124.125, -123.875, -123.625, -123.375, -123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375]",20021213.2,325645.9375,47787.375,59.0,9.75423812866211,2.605959892272949,141.24726867675778,6.814476365358004,Winter,6055.0,38.36211695274453,-122.4613565053141,flash,2097120.5,145.8359222412109,626.390625,1.8939728475130768,77.0,4.588653564453125,18.0,3.248667112249928
1,46743,20101224.19,"[30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375, 39.625, 39.875, 40.125, 40.375]","[-121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125, -113.875, -113.625, -113.375, -113.125, -112.875, -112.625, -112.375, -112.125, -111.875, -111.625]",20101219.07,522991.3125,110262.9375,133.0,3.9419565200805664,0.8046380281448364,106.56222534179688,4.743128782506815,Winter,6071.0,35.483921061064116,-116.65260315999693,flash,1898127.25,140.09353637695312,854.6793823242188,1.0533346596121131,133.0,33.53131103515625,0.0,31.46641403893831
2,46877,20101222.18,"[28.875, 29.125, 29.375, 29.625, 29.875, 30.125, 30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875]","[-121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125, -113.875, -113.625, -113.375, -113.125, -112.875, -112.625, -112.375, -112.125, -111.875, -111.625]",20101219.06,397422.6875,103607.0,85.0,5.432119369506836,1.0181970596313477,85.18599700927734,3.8358671470074417,Winter,6065.0,33.81303684212908,-116.53284319275015,flash,1279606.375,130.59872436523438,807.1153564453125,1.5364555160463644,85.0,45.41272735595703,0.0,53.310084932164706
3,13093,20080126.02,"[33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375, 39.625, 39.875, 40.125, 40.375, 40.625, 40.875, 41.125, 41.375, 41.625, 41.875, 42.125, 42.375, 42.625, 42.875, 43.125]","[-127.625, -127.375, -127.125, -126.875, -126.625, -126.375, -126.125, -125.875, -125.625, -125.375, -125.125, -124.875, -124.625, -124.375, -124.125, -123.875, -123.625, -123.375, -123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625]",20080125.12,115090.671875,35716.4375,15.0,90.68533325195312,4.846942901611328,71.62848663330078,3.2223446662338597,Winter,6041.0,38.008258007457016,-122.64576218990007,flash,406270.53125,30.88335418701172,152.9625701904297,2.05889038280708,15.0,-40.74513244628906,0.0,-56.883977815812536
4,46033,20101222.19,"[29.375, 29.625, 29.875, 30.125, 30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375]","[-123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125, -113.875, -113.625, -113.375, -113.125]",20101220.19,202827.03125,65995.3125,49.0,5.390818119049072,1.4151545763015747,69.86788940429689,3.0733551151833702,Winter,6037.0,34.321040331376444,-118.224645893059,flash,952476.5625,71.8958740234375,595.0966186523439,1.4672627966631735,49.0,2.027984619140611,0.0,2.902598942706704
5,14069,20080127.23,"[28.125, 28.375, 28.625, 28.875, 29.125, 29.375, 29.625, 29.875, 30.125, 30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125]","[-121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125, -113.875, -113.625, -113.375, -113.125, -112.875, -112.625, -112.375, -112.125, -111.875, -111.625]",20080127.06,165714.921875,50697.9375,18.0,97.9800033569336,4.097188949584962,68.73786163330078,3.2686718641167603,Winter,6073.0,33.03375314315009,-116.73528276873644,flash,342800.625,33.532291412353516,184.18659973144528,1.8629048810322413,18.0,-35.205570220947266,0.0,-51.217144939364175
6,36103,20100121.22,"[29.375, 29.625, 29.875, 30.125, 30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375]","[-123.875, -123.625, -123.375, -123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125, -113.875]",20100118.1,599817.5,191691.0,85.0,4.07047176361084,0.830588161945343,68.69205474853516,3.129085350903277,Winter,6111.0,34.418701999433715,-118.75485348651505,flash,1853331.375,129.2871551513672,365.64166259765625,1.375395177814816,94.0,60.59510040283203,9.0,88.21267703325502
7,69893,20121130.18,"[32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375, 39.625, 39.875, 40.125, 40.375, 40.625, 40.875, 41.125, 41.375, 41.625, 41.875, 42.125, 42.375]","[-127.125, -126.875, -126.625, -126.375, -126.125, -125.875, -125.625, -125.375, -125.125, -124.875, -124.625, -124.375, -124.125, -123.875, -123.625, -123.375, -123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125]",20121130.09,38919.328125,16741.375,10.0,12.901998519897461,5.245193004608153,50.63464736938477,2.3247390447319893,Fall,6097.0,37.37280535277454,-122.06301550724793,flash,405079.84375,29.82914924621582,154.9091644287109,2.982914698808638,10.0,-20.805498123168952,0.0,-41.08945001905668
8,36580,20100121.22,"[28.875, 29.125, 29.375, 29.625, 29.875, 30.125, 30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875]","[-121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125, -113.875, -113.625, -113.375, -113.125, -112.875, -112.625, -112.375, -112.125, -111.875, -111.625, -111.375, -111.125]",20100121.09,416627.0,231378.4375,14.0,10.135713577270508,2.9019083976745605,40.21467208862305,1.800630190529314,Winter,6065.0,33.84059247182327,-116.22591081692646,flash,584226.875,44.18597030639648,221.48187255859375,3.1561408909781323,14.0,3.9712982177734304,0.0,9.875247046703963
9,1166731,20040226.03,"[29.375, 29.625, 29.875, 30.125, 30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375]","[-124.125, -123.875, -123.625, -123.375, -123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125]",20040225.16,180762.78125,105953.5,12.0,10.397500038146973,3.2077434062957764,35.013580322265625,1.7060576691661908,Winter,6111.0,34.45678343583186,-119.08332961937376,flash,372959.75,35.291423797607415,161.25576782226562,2.9409519147758623,12.0,0.27784347534178977,0.0,0.7935306037957656
10,1168720,20040226.12,"[29.125, 29.375, 29.625, 29.875, 30.125, 30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125]","[-121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125, -113.875, -113.625, -113.375, -113.125, -112.875, -112.625, -112.375, -112.125, -111.875, -111.625, -111.375]",20040225.21,135393.71875,95597.3125,16.0,7.93312406539917,1.9971932172775269,29.90814781188965,1.4162921028768458,Winter,6071.0,34.21930734233979,-116.47927290029732,flash,343608.09375,39.04193878173828,127.40618133544922,2.4401208029363843,16.0,9.133790969848633,0.0,30.539473815953244
11,70798,20121223.21,"[32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375, 39.625, 39.875, 40.125, 40.375, 40.625, 40.875, 41.125, 41.375, 41.625, 41.875, 42.125, 42.375, 42.625]","[-127.375, -127.125, -126.875, -126.625, -126.375, -126.125, -125.875, -125.625, -125.375, -125.125, -124.875, -124.625, -124.375, -124.125, -123.875, -123.625, -123.375, -123.125, -122.875, -122.625, -122.375, -122.125, -121.875, -121.625, -121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375]",20121223.07,30457.1015625,21682.5625,15.0,5.743333339691162,2.112875461578369,27.416721343994144,1.404681829580798,Winter,6081.0,37.502863230261006,-122.3078527889667,flash,323787.46875,25.85542297363281,90.33660125732419,1.7236947253696675,15.0,-1.5612983703613352,0.0,-5.6946939452457555
12,35763,20100121.19,"[30.125, 30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375, 39.625, 39.875, 40.125]","[-121.375, -121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125, -113.875, -113.625, -113.375, -113.125, -112.875, -112.625, -112.375, -112.125, -111.875, -111.625, -111.375]",20100121.1,274151.53125,235011.0,10.0,8.763999938964844,2.632023572921753,26.169551849365238,1.1665476562799189,Winter,6071.0,35.1755784536149,-116.42499174522509,flash,505188.93750000006,46.13176345825196,190.1260986328125,2.4279877991965986,19.0,19.962211608886722,9.0,76.28029598592809
13,32921,20090906.03,"[29.875, 30.125, 30.375, 30.625, 30.875, 31.125, 31.375, 31.625, 31.875, 32.125, 32.375, 32.625, 32.875, 33.125, 33.375, 33.625, 33.875, 34.125, 34.375, 34.625, 34.875, 35.125, 35.375, 35.625, 35.875, 36.125, 36.375, 36.625, 36.875, 37.125, 37.375, 37.625, 37.875, 38.125, 38.375, 38.625, 38.875, 39.125, 39.375, 39.625, 39.875]","[-121.125, -120.875, -120.625, -120.375, -120.125, -119.875, -119.625, -119.375, -119.125, -118.875, -118.625, -118.375, -118.125, -117.875, -117.625, -117.375, -117.125, -116.875, -116.625, -116.375, -116.125, -115.875, -115.625, -115.375, -115.125, -114.875, -114.625, -114.375, -114.125, -113.875, -113.625, -113.375, -113.125, -112.875, -112.625, -112.375, -112.125, -111.875, -111.625, -111.375, -111.125]",20090904.1,23378.349609375,19448.875,42.0,2.330714225769043,0.6457394361495972,25.090835571289066,1.2020412290878006,Fall,6071.0,34.84154062887824,-116.17841271255554,flash,160396.8125,25.144506454467773,133.43739318847656,0.493029487618212,51.0,0.053670883178707385,9.0,0.2139063206014625
